Date	DS0	Run
2011-05-20 23:59:23	6.0625	1305928763
2011-05-21 00:15:50	6.0625	1305929750
2011-05-21 00:29:47	6.0625	1305930587
2011-05-21 01:32:09	6.2153	1305934329
2011-05-21 01:40:52	6.2639	1305934852
2011-05-21 01:51:28	6.2969	1305935488
2011-05-21 02:01:14	6.5511	1305936074
2011-05-21 02:22:36	6.4821	1305937356
2011-05-21 03:05:11	6.25	1305939911
2011-05-21 03:13:37	6.2875	1305940417
2011-05-21 03:21:58	6.3125	1305940918
2011-05-21 03:27:07	6.3125	1305941227
2011-05-21 03:38:56	6.8375	1305941936
2011-05-21 03:59:30	6.5344	1305943170
2011-05-21 04:22:37	6.3164	1305944557
2011-05-21 04:42:34	6.3125	1305945754
2011-05-21 04:53:09	6.375	1305946389
2011-05-21 05:01:47	6.6406	1305946907
2011-05-21 05:22:05	6.7411	1305948125
2011-05-21 05:42:33	6.4844	1305949353
2011-05-21 06:22:52	6.6875	1305951772
2011-05-21 06:58:12	6.7316	1305953892
2011-05-21 07:22:37	6.4133	1305955357
2011-05-21 07:55:29	6.7134	1305957329
2011-05-21 08:25:53	6.8929	1305959153
2011-05-21 08:39:49	6.5625	1305959989
2011-05-21 09:10:13	6.4583	1305961813
2011-05-21 09:41:03	6.9884	1305963663
2011-05-21 10:11:27	6.6458	1305965487
2011-05-21 10:42:19	6.5469	1305967339
2011-05-21 11:12:42	7.0982	1305969162
2011-05-21 11:43:34	6.713	1305971014
2011-05-21 12:13:57	6.6185	1305972837
2011-05-21 12:44:50	7.21	1305974690
2011-05-21 13:15:13	6.8042	1305976513
2011-05-21 13:46:08	6.6942	1305978368
2011-05-21 14:16:31	7.26	1305980191
2011-05-21 14:47:23	6.8657	1305982043
2011-05-21 15:17:46	6.75	1305983866
2011-05-21 15:48:37	7.3324	1305985717
2011-05-21 16:19:01	6.9554	1305987541
2011-05-21 16:49:53	6.8884	1305989393
2011-05-21 17:20:17	7.4884	1305991217
2011-05-21 17:51:08	7.0871	1305993068
2011-05-21 18:21:32	6.9935	1305994892
2011-05-21 18:52:23	7.5396	1305996743
2011-05-21 19:30:24	7.175	1305999024
2011-05-21 19:40:48	7.0125	1305999648
2011-05-21 19:51:11	7	1306000271
2011-05-21 20:01:35	7.0556	1306000895
2011-05-21 20:11:58	7.0625	1306001518
2011-05-21 20:22:21	7.475	1306002141
2011-05-21 21:31:18	7.0833	1306006278
2011-05-21 21:41:41	7.1016	1306006901
2011-05-21 21:52:04	7.4716	1306007524
2011-05-21 22:32:26	7.2625	1306009946
2011-05-21 22:42:49	7.1406	1306010569
2011-05-21 22:53:13	7.125	1306011193
2011-05-21 23:03:36	7.1562	1306011816
2011-05-21 23:13:59	7.1806	1306012439
2011-05-21 23:26:19	7.7125	1306013179
2011-05-21 23:43:58	7.7125	1306014238
2011-05-21 23:54:22	7.5312	1306014862
2011-05-22 00:04:45	7.3688	1306015485
2011-05-22 00:15:08	7.2273	1306016108
2011-05-22 00:35:25	7.1875	1306017325
2011-05-22 00:36:52	7.2292	1306017412
2011-05-22 00:44:58	7.25	1306017898
2011-05-22 00:47:51	7.25	1306018071
2011-05-22 00:49:13	7.25	1306018153
2011-05-22 00:54:15	7.25	1306018455
