Date	DS0	Run
2011-05-19 14:07:11	4.1375	1305806831
2011-05-19 14:30:41	4.0938	1305808241
2011-05-19 15:28:27	3.8225	1305811707
2011-05-19 15:57:23	3.5688	1305813443
2011-05-19 16:07:54	3.6335	1305814074
2011-05-19 16:33:30	4.2198	1305815610
2011-05-19 17:03:54	4.1753	1305817434
2011-05-19 18:05:12	4.4375	1305821112
2011-05-19 18:38:41	4.5685	1305823121
2011-05-19 20:10:19	4.567	1305828619
2011-05-19 20:41:12	4.6696	1305830472
2011-05-19 21:11:35	5.0812	1305832295
2011-05-19 21:42:27	4.7325	1305834147
2011-05-19 22:12:51	4.8396	1305835971
2011-05-19 22:43:47	5.2478	1305837827
2011-05-19 23:14:10	4.942	1305839650
2011-05-19 23:45:03	4.9559	1305841503
2011-05-20 00:15:26	5.5491	1305843326
2011-05-20 01:02:39	5.0893	1305846159
2011-05-20 01:33:03	5.2812	1305847983
2011-05-20 02:03:56	5.3977	1305849836
2011-05-20 02:34:19	5.2531	1305851659
2011-05-20 03:05:12	5.6375	1305853512
2011-05-20 03:35:35	5.5331	1305855335
2011-05-20 04:06:26	5.3819	1305857186
2011-05-20 04:36:49	5.8039	1305859009
2011-05-20 05:07:42	5.6146	1305860862
2011-05-20 05:38:06	5.4899	1305862686
2011-05-20 06:08:57	5.5078	1305864537
2011-05-20 07:24:52	5.59608	1305869092
2011-05-20 07:55:45	5.9375	1305870945
2011-05-20 08:32:16	5.5925	1305873136
2011-05-20 10:03:57	5.45	1305878637
2011-05-20 10:34:48	5.6771	1305880488
2011-05-20 11:05:11	5.7137	1305882311
2011-05-20 11:36:04	5.4632	1305884164
2011-05-20 11:53:20	5.4471	1305885200
2011-05-20 12:23:43	5.8482	1305887023
2011-05-20 12:54:35	5.5156	1305888875
2011-05-20 13:24:58	5.4509	1305890698
2011-05-20 13:55:51	5.4375	1305892551
2011-05-20 14:26:14	5.4375	1305894374
2011-05-20 15:58:22	5.4375	1305899902
2011-05-20 16:28:45	5.4375	1305901725
2011-05-20 16:59:37	5.4375	1305903577
2011-05-20 17:30:00	5.4375	1305905400
2011-05-20 18:00:55	6.0048	1305907255
2011-05-20 18:36:42	6.3095	1305909402
2011-05-20 18:58:02	6.0385	1305910682
2011-05-20 19:10:58	5.9	1305911458
2011-05-20 19:33:47	5.9152	1305912827
2011-05-20 19:48:03	6.2554	1305913683
2011-05-20 20:33:58	6.0913	1305916438
2011-05-20 20:47:23	5.962	1305917243
2011-05-20 21:12:28	6.0398	1305918748
2011-05-20 22:05:04	6.0625	1305921904
2011-05-20 22:20:45	6.0625	1305922845
2011-05-20 22:40:22	6.0625	1305924022
2011-05-20 22:57:52	6.0625	1305925072
2011-05-20 23:59:23	6.0625	1305928763
2011-05-21 00:15:50	6.0625	1305929750
2011-05-21 00:29:47	6.0625	1305930587
2011-05-21 01:32:09	6.2153	1305934329
2011-05-21 01:40:52	6.2639	1305934852
2011-05-21 01:51:28	6.2969	1305935488
2011-05-21 02:01:14	6.5511	1305936074
2011-05-21 02:22:36	6.4821	1305937356
2011-05-21 03:05:11	6.25	1305939911
2011-05-21 03:13:37	6.2875	1305940417
2011-05-21 03:21:58	6.3125	1305940918
2011-05-21 03:27:07	6.3125	1305941227
2011-05-21 03:38:56	6.8375	1305941936
2011-05-21 03:59:30	6.5344	1305943170
2011-05-21 04:22:37	6.3164	1305944557
2011-05-21 04:42:34	6.3125	1305945754
2011-05-21 04:53:09	6.375	1305946389
2011-05-21 05:01:47	6.6406	1305946907
2011-05-21 05:22:05	6.7411	1305948125
2011-05-21 05:42:33	6.4844	1305949353
2011-05-21 06:22:52	6.6875	1305951772
2011-05-21 06:58:12	6.7316	1305953892
2011-05-21 07:22:37	6.4133	1305955357
2011-05-21 07:55:29	6.7134	1305957329
2011-05-21 08:25:53	6.8929	1305959153
2011-05-21 08:39:49	6.5625	1305959989
2011-05-21 09:10:13	6.4583	1305961813
2011-05-21 09:41:03	6.9884	1305963663
2011-05-21 10:11:27	6.6458	1305965487
2011-05-21 10:42:19	6.5469	1305967339
2011-05-21 11:12:42	7.0982	1305969162
2011-05-21 11:43:34	6.713	1305971014
2011-05-21 12:13:57	6.6185	1305972837
2011-05-21 12:44:50	7.21	1305974690
2011-05-21 13:15:13	6.8042	1305976513
2011-05-21 13:46:08	6.6942	1305978368
2011-05-21 14:16:31	7.26	1305980191
2011-05-21 14:47:23	6.8657	1305982043
2011-05-21 15:17:46	6.75	1305983866
2011-05-21 15:48:37	7.3324	1305985717
2011-05-21 16:19:01	6.9554	1305987541
2011-05-21 16:49:53	6.8884	1305989393
2011-05-21 17:20:17	7.4884	1305991217
2011-05-21 17:51:08	7.0871	1305993068
2011-05-21 18:21:32	6.9935	1305994892
2011-05-21 18:52:23	7.5396	1305996743
2011-05-21 19:30:24	7.175	1305999024
2011-05-21 19:40:48	7.0125	1305999648
2011-05-21 19:51:11	7	1306000271
2011-05-21 20:01:35	7.0556	1306000895
2011-05-21 20:11:58	7.0625	1306001518
2011-05-21 20:22:21	7.475	1306002141
2011-05-21 21:31:18	7.0833	1306006278
2011-05-21 21:41:41	7.1016	1306006901
2011-05-21 21:52:04	7.4716	1306007524
2011-05-21 22:32:26	7.2625	1306009946
2011-05-21 22:42:49	7.1406	1306010569
2011-05-21 22:53:13	7.125	1306011193
2011-05-21 23:03:36	7.1562	1306011816
2011-05-21 23:13:59	7.1806	1306012439
2011-05-21 23:26:19	7.7125	1306013179
2011-05-21 23:43:58	7.7125	1306014238
2011-05-21 23:54:22	7.5312	1306014862
2011-05-22 00:04:45	7.3688	1306015485
2011-05-22 00:15:08	7.2273	1306016108
2011-05-22 00:35:25	7.1875	1306017325
2011-05-22 00:36:52	7.2292	1306017412
2011-05-22 00:44:58	7.25	1306017898
2011-05-22 00:47:51	7.25	1306018071
2011-05-22 00:49:13	7.25	1306018153
2011-05-22 00:54:15	7.25	1306018455
2011-05-22 00:57:53	7.8182	1306018673
2011-05-22 01:08:16	8	1306019296
2011-05-22 01:18:40	7.75	1306019920
2011-05-22 01:29:03	7.5125	1306020543
2011-05-22 01:39:26	7.4375	1306021166
2011-05-22 01:49:50	7.3021	1306021790
2011-05-22 01:56:40	7.25	1306022200
2011-05-22 02:01:15	7.25	1306022475
2011-05-22 02:12:39	7.2656	1306023159
2011-05-22 02:23:02	7.3875	1306023782
2011-05-22 02:33:25	8.0062	1306024405
2011-05-22 02:43:49	7.9125	1306025029
2011-05-22 02:49:24	7.6779	1306025364
2011-05-22 03:07:29	7.3175	1306026449
2011-05-22 03:37:52	7.2969	1306028272
2011-05-22 03:50:08	7.73	1306029008
2011-05-22 04:20:31	7.7917	1306030831
2011-05-22 04:34:41	7.3889	1306031681
2011-05-22 05:05:05	7.3297	1306033505
2011-05-22 05:35:57	7.806	1306035357
2011-05-22 06:06:41	7.3058	1306037201
2011-05-22 06:37:05	7.1875	1306039025
2011-05-22 06:53:19	7.6125	1306039999
2011-05-22 07:23:42	7.5846	1306041822
2011-05-22 07:42:05	7.2604	1306042925
2011-05-22 08:12:28	7.2639	1306044748
2011-05-22 08:43:21	7.9437	1306046601
2011-05-22 08:54:04	7.6579	1306047244
2011-05-22 09:13:21	7.3179	1306048401
2011-05-22 09:43:45	7.3981	1306050225
2011-05-22 10:14:38	7.7902	1306052078
2011-05-22 10:45:01	7.3276	1306053901
2011-05-22 11:15:53	7.3582	1306055753
2011-05-22 11:43:22	7.8836	1306057402
